videoId,videoTitle,extracted_motion,category
Fylag_yuIpY,Belgrade WUDC 2022 Octofinals Room 1,This House Would ban corporate residential landlords* *Corporate residential landlords refers to corporations that own and maintain multiple apartments for the purpose of renting them out for residential use OG PEP Belgrade A OO UNWE A CG Princeton C CO Christ University A OG and OO advanced Official Facebook page: https://www,artificial intelligence;education
CpZ1fGPRDso,Belgrade WUDC 2022 Octofinals Room 2,This House Would ban corporate residential landlords* *Corporate residential landlords refers to corporations that own and maintain multiple apartments for the purpose of renting them out for residential use,artificial intelligence;economics;education;politics
w6sOGU6dob4,Belgrade WUDC 2022 ESL Quarterfinals Room 1,This House Opposes the rise in anti-establishment discourse OG UST 2 OO OBS Kwame Nkrumah B CG Belgrade B CO Belgrade A,
EhBU5FzYAiY,Belgrade WUDC 2022 Open Partial Double Octos Room 3,This House Believes That the environmental movement should take more radical action in the fight against climate change (e,artificial intelligence;environment;philosophy;social movement
LBTwNDoII64,Belgrade WUDC 2022 Open Partial Double Octos Room 1,This House Believes That the environmental movement should take more radical action in the fight against climate change (e,artificial intelligence;education;environment;philosophy;social movement
DOm_nnzw1GA,Belgrade WUDC 2022 Open Partial Double Octos Room 2,This House Believes That the environmental movement should take more radical action in the fight against climate change (e,artificial intelligence;environment;philosophy;social movement
61n_2BRtkAA,Belgrade WUDC 2022 ESL Quarterfinals Room 2,This House Opposes the rise in anti-establishment discourse,artificial intelligence;education
W0M2-Zc8XZs,Belgrade WUDC 2022 Round 3,"This House Believes That LGBTQ+ movements in developing countries should integrate patriotism into their messaging* *including actions such as celebrating LGBTQ+ soldiers, talking openly about being ""queer and a patriot"", displaying the pride flag with the national symbol, and avoiding actions such as supporting independence movements within the country or publicly criticizing nationalism OG - Bannerman & Acheampong OO - Palmer & McCarthy CG - Trotter & Bakker CO - Lu & Weaving 1 CG 81 81 2 CO 81 80 3 OO 78 79 4 OG 77 78 Official Facebook page: https://www",philosophy;social movement
eOJc-vJo1lM,Belgrade WUDC 2022 Round 6,that grants central banks the mandate to control circulation of money in the economy through fiscal policy in addition to monetary policy,economics;politics
yc8X4p1WRUY,Belgrade WUDC 2022 Round 8,This House Prefers that the Eastern bloc countries had formed their own Union instead of joining the European Union (EU) OG Africa & Vitug OO Ju & Mentzinger CG Selveliev & Marinov CO Jansen & Muntean Official Facebook page: https://www,
GG2OQIP5tCs,Belgrade WUDC 2022 Round 5,that were under Ottoman rule from the 14th to the 19th century (e,artificial intelligence;criminal justice system;military;narrative
P28WviPguF8,Belgrade WUDC 2022 Round 7,"that do not meet the academic definition of these terms - referring to the urge to tidy up as ""OCD"", or a temporary inability to focus as ""ADHD"" - partaking in speculative psychiatric diagnoses of others, including public figures The motion for Round 7 reads This House Opposes the popularization of therapy speak OG Chang & Chandravanshi OO Vasić & Moscovici CG Sammak & Caito CO Selveliev & Marinov 1 CG 84 83 2 OO 83 83 3 CG 83 82 4 OG 80 82 Official Facebook page: https://www",artificial intelligence;medical
RKl7nKNQDA8,Belgrade WUDC 2022 Round 9 Room 1,This House Opposes the pressure to focus on promoting one's career at the expense of forming a family OG Diskin & Toomey OO Kapelyukh & Cravaris CG Ju & Mentzinger CO Šuflaj & Djaković Official Facebook page: https://www,
rkwnfceH9lc,Belgrade WUDC Training Program Round 5 Motion Debrief with Sher May,,artificial intelligence
vLCeEj5Ja5c,Belgrade WUDC 2022 Training Program: Special motion debrief with CAs,This House Believes That the environmental movement should take more radical action in the fight against climate change (e,artificial intelligence;environment;philosophy;social movement
oaFoWHja-FU,Belgrade WUDC 2022 Training Program: Winning Strategy with Harish Natarajan & Raffy Marshall,,artificial intelligence
YSGtVcuXgC0,Belgrade WUDC 2022 Training Program: Maximise your development following WUDC,,artificial intelligence;development
sOsuO2mYyJw,Belgrade WUDC 2022 Model Debate Babies vs Dinos,This House Prefers that the Eastern bloc countries had formed their own Union instead of joining the European Union (EU) OG: Ankit and Tejas OO: Ashish and Harish Official Facebook page: https://www,
pdTZNWa30pM,Belgrade WUDC 2022 Training Program: Framing in Outrounds with Lee Chin Wee,,artificial intelligence
LPp5qmAoiT8,Belgrade WUDC 2022 Training Program: Round 7 Motion Debrief with Ruth Silcoff,,artificial intelligence
d7sXHjsfqlU,Belgrade WUDC 2022 Training Program: Judging at WUDC with Njuguna Macharia,,artificial intelligence
Skcsu-xQ8Lc,Belgrade WUDC 2022 Training Program: Refined Rebuttal with Teck Wei Tan,,artificial intelligence
VN9-oyS0wvQ,Belgrade WUDC 2022 Model Debate CA Battle,that grants central banks the mandate to control circulation of money in the economy through fiscal policy in addition to monetary policy,artificial intelligence;economics;politics
OF0jrZgwZLU,Belgrade WUDC 2022 Training Program: Mastering Extensions with Teck Wei Tan & Sharmila Parmanand,,artificial intelligence
Bd6_kFtXaJ8,Belgrade WUDC 2022 Training Program: Round 3 Motion debrief with Klaudia Maciejewska,,artificial intelligence
73dNFvAAWGU,Belgrade WUDC 2022 Training Program: Turf burning & Prioritisation in Opening,,artificial intelligence
NbbQx2-Li-8,Belgrade WUDC 2022 Public Speaking Grand Final,,
f0cu0gC88aY,Doxbridge Pre-WUDC 2022 Grand Final,thousands of participants from around the world,international relation
RkvpyqTOCiI,Doxbridge Pre-WUDC 2022 Semifinals,"thon OG: Sydney C OO: Ateneo AV CG: palmer's at a wedding CO: LSE A Motion: You come across a button which, if pressed, will instantly and painlessly erase all of human existence",artificial intelligence;media
8hUpMhGwTK8,Doxbridge Pre-WUDC 2022 Round 1,THS the transition of media coverage of sports to social media (e,culture;media;sport
1gcfO3B0uII,Doxbridge Pre-WUDC 2022 Quarterfinals,thon OG - UCL A[PM didn't consent to recording] OO - Lemon CG - LSE C CO - CWSDC D THBT the International Criminal Court should abolish its practice of complementarity OO and CG advanced The debate (LO speech) starts at 25:14 https://www,international relation;law;philosophy
CCrGDBv6wnQ,Doxbridge Pre-WUDC 2022 Octofinals,THP a world where the norm is that people hold multiple part time jobs instead of the current norm of one full time job OO and CG advanced The debate starts at 12:41 https://www,
GnSVqvckjqc,Doxbridge Pre-WUDC 2022 Round 5,THW would give industry representatives (e,education;politics
ZdQOGy7VG7E,National Debate Championship Diliman 2022 Grand Final,THBT citizens who had their voted candidates lost during an election should be compensated by their government should they decide to transfer citizenship to another foreign government (provided that this state accepts them) OG: DLSU C OO: UPD A CG: ADMU A CO: ADMU B CG wins https://www,philosophy;politics
8z-MilT9Xxk,National Debate Championship Diliman 2022 Semifinals,THS the adoption of cryptocurrencies into states with weak fiat currencies OG: ADMU C OO: ADMU A CG: UPD A CO: ADMU D OO and CG progressed to the Grand Final https://www,
R8mi57TV_bQ,National Debate Championship Diliman 2022 Quarter Finals,THBT the wishes of the deceased (e,law
skpEVt2DIr4,National Debate Championship Diliman 2022 Octo Finals,THBT it is in the best interest of Hungary to veto further EU sanctions on Russia OG: ADMU A OO: SBU A CG: UPC A CO: ADNU C OG and CG progressed to the Quarter https://www,
pHn2mfEU2RU,Doxbridge Worlds 2022 Open Grand Final,This House Supports the eventual Death of God OO won (6-1 split) Debate starts at 17:45 www,artificial intelligence;philosophy;religion
1PEa1bFBFwQ,Pre-WSDC 2021 Grand Final (Singapore vs Hong Kong),"that is ordinary, plain, and unremarkable",artificial intelligence
HbUuO9JU9I8,Pre-WSDC 2021 Semifinals 2 (China vs Hong Kong),"that is a mix of ideologically opposed politicians from the left (Labor), the centre (Lapid), hardline Jewish religious nationalists and a small Arab Islamist party",artificial intelligence;military;politics
HnNvru9gv7w,Pre-WSDC 2021 Semifinals 1 (Pakistan vs Singapore),"that is a mix of ideologically opposed politicians from the left (Labor), the centre (Lapid), hardline Jewish religious nationalists and a small Arab Islamist party",artificial intelligence;military;politics
3Ut7xUb1j2o,Religion Workshop with Hamza Tariq Chaudhry,,religion
tcfMGIIzNi0,LSE Open 2021 Round 2,"THP a world where, after COVID-19 is no longer a threat to public health and safety, remote work remains the norm OG: Matt's Asian Fetish (Chris Pang, Matt Aydin) OO: Zagreb Debate ReUnion (Tin Puljić, Lovro Šprem) CG: Rachel and Lucía (Rachel O'Nunain, Lucía Arce Cubas) CO: Gamestonks (Biser Angelov, Maria Matcheva) 1 OO 84 83 2 CG 81 84 3 OG 79 80 4 CO 79 78",artificial intelligence
cC4odKuaqNU,LSE Open 2021 Round 1,THR modern medicine's prioritisation of longevity over quality of life (e,medical
XXwjCSVm5LA,Viyasas IV 2021 Grand Final,THBT the Philippine opposition should employ a campaign based on issues as opposed to an Anti-Duterte campaign,artificial intelligence;philosophy
-oOzFvrQrpg,Visayas IV 2021 Semi Finals,"that the officer suspects to be armed, engaged in, or is about to engage in criminal conduct",
LMXVMsrDd6U,PIDC 2021 Semi Finals Ateneo A vs Ateneo B,"THS the creation of Facebook metaverse Infoslide: Mark Zuckerberg recently announced their ambition to transform Facebook into a metaverse that seeks to actively replace social, workplace and entertainment spaces",artificial intelligence;environment;technology
ribo6vdRcCQ,PIDC 2021 Quarter Finals UPLB A vs Ateneo A,THBT the US should employ further quantitative easing as opposed to increased spending on stimulus and relief packages to recover from the effects of the COVID-19 pandemic,philosophy
1KwkQtJfBGM,Taylor's Debate Open 2021 Grand Final,THO the dominant narrative that acquiring forgiveness is essential in order for a flawed person to achieve redemption,artificial intelligence;law;narrative
Yi-ixUgQSCY,Cambridge IV 2021 Round 4,"THBT South American countries should no longer co-operate with the USA's ""War on Drugs"" OG: BRAC A OO: LSE B CG: McGill A CO: KCL A 1 OG 2 CG 3 OO 4 CO",conflict;philosophy
busPlIIMmQs,NEADC 2021 Open Grand Final,THW require all marriages to stipulate specific expectations and obligations of spouses OO wins,
cOudIRuwH3Q,NEADC 2020 Grand Final,that the religious leader is gay and has been in a relationship for X amount of years,artificial intelligence;culture
5WHTtpI7fl8,Macau WSDC 2019 Grand Final China A vs China B,THBT it is morally legitimate for members of ethnic minorities to fabricate their educational and work experience to acquire jobs China A (prop) vs China B (opp) Gov won with 5-2 split PM: Linden Li LO: Grace Tan DPM: Jacquelynn Lin DLO: Brian Li GW: Matt Song (GF Best Speaker with 4-2-1 split) OW: Evan Shen OR: Brian Li GR: Liden Li,education;philosophy
RBZYtBZaFZs,Macau WSDC 2019 Round 4 China A vs Korea A,"THS aggressive, targeted sanctions on high-ranking Myanmar military officials China A (prop) vs Korea A (opp) Winner: Prop",military
SPAdfcgHLsI,Macau WSDC 2019 Round 3 China A,This House Believes That music streaming platforms and radio stations should not place restrictions on musicians who are credibly accused of committing illegal acts (e,law;philosophy
EFiRvYvrUUE,Macau WSDC 2019 Round 5 China A vs China B,This House Believes That the Feminist Movement in conservative societies should prioritize achieving legal/formative changes (e,education;law;philosophy;social movement
iCGpUH29ncQ,Bali UADC 2021 EFL Grand Final,This house believes that it is a legitimate tactic for activists to launch campaigns of personal attacks/insults at the family members of corrupt politicians Prop: HUFS 1 Opp: Peking 1 Prop won on 10-1 split,artificial intelligence;politics
hT_OBl8vbfs,UADC 2021 Open Grand Final,"three different kinds of struggle namely a believer's internal struggle to live out the Muslim faith as well as possible, the struggle to live as a good Muslim society and the struggle to defend Islam, with force if necessary",artificial intelligence;military;philosophy;religion
BSNicw4uYKA,UADC 2020 Grand Final,"OPEN Final I Bangladesh UADC 2020 Government: Taylors A Opposition: Ateneo De Manila 1 Motion: In post-colonial states, THS militaries with strong nationalist ideologies over militaries that see themselves as autonomous, professional bodies",military;politics
zedO2PiDJz0,UADC 2020 Quarter Finals,TH prefers a world in which the conception of sin in Abrahamic religions is entirely a result of human agency as opposed to temptation of the devil,artificial intelligence;politics;religion
CZMgmKUP-i4,KCL Open 2021 Grand Final,THS a widespread implementation of San Pedro's prison structure OG wins,artificial intelligence;criminal justice system;law;politics
TGGg3jlhaKg,UADC 2020 Octo Finals,"TH, as Saudi Arabia, would like for stronger ties with China at the expense of USA Opp wins",politics
5fpYb5QqpMY,Sydney Mini 2020 Grand Final,This House regrets the narrative that the empowerment of historically oppressed communities is an intergenerational obligation for members of that community,narrative
w-1mFL_uU1o,LSE Open 2021 Round 5,"that is owned, developed, and operated exclusively by private individuals and/or organizations (usually companies)",law
apAPHapPA-E,LSE Open 2021 Round 5B (Closing only),"This House Supports the rise of private cities in the developing world (A 'private city' is a city that is owned, developed, and operated exclusively by private individuals and/or organizations (usually companies)",artificial intelligence;law
Jnm1UfBJ3B8,Princeton IV 2021 Quarter Finals,"through publicizing their demands in media publications, launching law suits against management members, etc",artificial intelligence;law;media;politics;social movement
kZw07BD5Z-0,Princeton IV 2021 Grand Final,"THP a world where individuals treated everybody as though they carry equal moral weight, rather than a world where they treated their surrounding community as though they carry more moral weight OG wins",philosophy
DzWv0vetnd0,LSE Open 2021 Round 2,"This House Prefers a world where, after COVID-19 is no longer a threat to public health and safety, remote work remains the norm OG - Cambridge HJ (Jonathan Yap, Han Yang Goh) OO - ESLin' in LSE (Tamar Ben Meir, Ido Kotler) CG - Money can't buy you happiness (Matt Hazell, John Papantoniou) CO - Ateneo VV (Mikko Vitug, Ignacio Villareal) 1 CO 85 86 2 CG 86 84 3 OO 84 84 4 OG 84 82",artificial intelligence
9eCLY8TYHVw,Macau Online WSDC 2021 Octo Finals 4 (Hong Kong vs Australia),This House would ban users from selling their data to companies in exchange for financial returns (i,
7nDdyYP3BVk,Macau Online WSDC 2021 Octo Finals 5 (Lithuania vs Malaysia),This House would ban users from selling their data to companies in exchange for financial returns (i,
k_UXsKYo1VQ,Macau Online WSDC 2021 Octo Finals 1 (Sri Lanka vs Canada),"THS periodic, fixed-date constitutional conventions in constitutional democracies Prop: Sri Lanka Opp: Canada Opp wins",law
440-yx9tFPg,LSE Open 2021 Round 4,THO 'political consumerism' PM 85 LO 83 DPM 84 DLO 83 MG 83,artificial intelligence;politics
PIploGXuYAY,Macau Online WSDC 2021 Quarter Finals (Canada vs China),This House objects to the giving of international military aid Proposition: Canada Opposition: China Prop wins,artificial intelligence;international relation;military
RvY0G95iFeU,Macau Online WSDC 2021 PDO (Japan vs USA),"Motion reads: In times of economic crises, This House believes that the government should withhold information that is likely to damage market confidence Proposition: Japan Opposition: USA Opp wins",economics;philosophy;politics
FzFqEGvHHJQ,LSE Open 2021 Quarter Finals,THW require no-fee brokerages (e,
jsxg0v2In4U,Macau Online WSDC 2021 Octo Finals 3 (China vs the Netherlands),"This House supports periodic, fixed-date constitutional conventions in constitutional democracies Proposition: China Opposition: The Netherlands Prop wins",law
GK5vsH01cDA,Macau Online WSDC 2021 Quarter Finals 2 (Malaysia vs Singapore),This House regrets the Westernization of the elites in post-colonial countries Prop: Malaysia Opp: Singapore Opp wins,
SJsigF16Q3s,Macau Online WSDC 2021 Octo Finals 2 (South Africa vs Romania),"This House supports periodic, fixed-date constitutional conventions in constitutional democracies Proposition: South Africa Opposition: Romania Opp wins",law
BqQR_mCjUgM,Doxbridge 4 Round 2,THS the trend of long-term romantic couples living apart (i,
6Mj-bOzGYLU,Cambridge IV 2021 Round 5,"THBT national legislatures should apportion electoral representation by age group, rather than geographical area OG - Princeton A OO - Ateneo AV CG - Brac A CO - Oxford A 1 CG 82 81 2 OO 81 81 3 OG 80 81 4 CO 78 79",philosophy
9OkLZNeOMK0,Macau Online WSDC 2021 Semifinals (Singapore vs Canada),"This House would nationalise* the research, development, and distribution of pharmaceuticals *To nationalise means to transfer from private or regional ownership and control to state/government ownership and control",development;politics
wFYDsFrd_Po,Cambridge IV 2021 Grand Final,"that endorses the study and creation of technologies to modify the body, with the aim of surpassing natural limits to human abilities (e",artificial intelligence;social movement
dwAhU0u5AcI,Doxbridge 4 Quarter Finals,THBT political parties should be able to replace their elected members at any point during their term in office OO and CG win,philosophy;politics
WXLx-Z_8z6s,Doxbridge 4 Round 1,"THW, as major sporting associations of female dominated sports (e",economics;sport
_8KF10g_Nuo,Doxbridge 4 Round 5,This House Believes That international development institutions (e,development;international relation;philosophy
-g64rPvHGAo,Doxbridge 4 Round 3,"THBT it is in the interest of China to continue pushing for the internationalisation of the yuan Info: Presently, China is utilizing a variety of measures to push for the Yuan to become a global reserve currency",economics;international relation;law;social movement
-6RacXkX6TQ,Doxbridge 4 Octo Finals,This House Believes That Black Lives Matter should closely integrate the black church and elements of black liberation theology (the narrative that liberating the oppressed is the core of Christian doctrine) into its organisational structure and doctrines,narrative;philosophy
MoynLyIBhF4,Doxbridge 4 Grand Final,tharina Margareta Jansen + Lucie Slamova) CG: Ateneo de Manila VV (Ignacio Villareal + Mikko Vitug) CO: Zagreb A - Lovro got replaced for not prepping enough (Tin Puljić + Aditya Dhar) Infoslide: DoxGaming is a medium sized video game company in the very early stages of developing two new online competitive games called 'Doxtastic 2077' and ‘Doxbot 420',development
zFA_QSfXkOo,Global Phase Finals of Bangabandhu Dhaka International Debate Fest for The Dhaka OIC,THBT feminist movements in the West should refrain from getting involved in the fight for empowerment in developing nations,artificial intelligence;international relation;philosophy;social movement
67KeqiiiM0w,Doxbridge 4 Semi Finals,THW use the Sweden Pill in Country X,culture;military;philosophy;politics;religion
NsgXAb6XEVs,Cambridge IV 2020 Round 3,,
ls4ReSzO_VI,Doxbridge 5 Round 3,"Motion: Assuming feasibility, THW adopt 'whole life desert' considerations for criminal sentences",artificial intelligence;criminal justice system
aZMcr3kYXSs,Doxbridge 5 Round 4,THO the EU's decision to cut funding given to member states as a penalty for passing policies deemed to be against 'EU values' OG LSE Uranus OO Lukashenko Skywalkerov and Hanasta CG Is Moss an Endangered Species,artificial intelligence
t2UF5iSubw4,Doxbridge 5 Round5,This House Regrets the practice of religiously obliged alms-giving (e,
kN2YcVis7F4,ABP 2021 Grand Final,"This House prefers to live as a person who adopted the ""closed off"" model OG: NTU 1 OO: Toyko 1 CG: Ateneo 2 CO: Ateneo 1 OO wins",artificial intelligence
oFtIfWYM99E,Doxbridge 5 Quarter Finals,that around half of all US consumers have used such a service,artificial intelligence;economics
